SMILES,full_nomenclature,monomer_structure,peptoids,short_name,type
*N([C@@H](C)c1cccc2ccccc21)CC(=O)*,(S)-N-(1-naphthylethyl)glycine,,"{'11AD1-2-A': '/api/peptoids/11AD1-2-A', '11AD2-3-A': '/api/peptoids/11AD2-3-A', '11AD3-4-A': '/api/peptoids/11AD3-4-A', '12AA1-2-A': '/api/peptoids/12AA1-2-A', '13AC1-6-A': '/api/peptoids/13AC1-6-A', '13AC2-2-A': '/api/peptoids/13AC2-2-A', '13AC3-3-A': '/api/peptoids/13AC3-3-A', '13AC4-4-A': '/api/peptoids/13AC4-4-A', '16AB1-3-A': '/api/peptoids/16AB1-3-A', '17AB1-5-A': '/api/peptoids/17AB1-5-A', '17AB2-8-A': '/api/peptoids/17AB2-8-A', '20AA2-3-A': '/api/peptoids/20AA2-3-A'}",Ns1npe,alpha
*N(c1cccc2ccccc21)CC(=O)*,N-(1-naphthyl)glycine,,"{'12AA1-2-A': '/api/peptoids/12AA1-2-A', '12AA2-6-C': '/api/peptoids/12AA2-6-C'}",,alpha
*N(CCC[N-][N+]#N)CC(=O)*,N-(azidopropyl)glycine,,"{'12AB1-8-M': '/api/peptoids/12AB1-8-M', '12AB2-16-M': '/api/peptoids/12AB2-16-M'}",,alpha
*N(CC#C)CC(=O)*,N-(propargyl)glycine,,"{'12AB1-8-M': '/api/peptoids/12AB1-8-M', '12AB2-16-M': '/api/peptoids/12AB2-16-M', '13AB1-8-C': '/api/peptoids/13AB1-8-C', '17AA1-6-C': '/api/peptoids/17AA1-6-C', '18AD1-8-C': '/api/peptoids/18AD1-8-C'}",,alpha
*N1CCC[C@@H]1C(=O)*,Proline,,"{'13AA1-6-C': '/api/peptoids/13AA1-6-C', '80AA1-3-C': '/api/peptoids/80AA1-3-C', '82AA1-3-C': '/api/peptoids/82AA1-3-C', '83AA1-4-C': '/api/peptoids/83AA1-4-C', '83AB1-8-C': '/api/peptoids/83AB1-8-C'}",Pro,alpha
*N[C@@H](C)C(=O)*,Alanine,,"{'18AC1-3-A': '/api/peptoids/18AC1-3-A', '18AC2-7-A': '/api/peptoids/18AC2-7-A'}",Ala,alpha
*N(c1c(C)cccc1(C))CC(=O)*,"N-(2,6-dimethylphenyl)glycine",,"{'13AC1-6-A': '/api/peptoids/13AC1-6-A', '13AC4-4-A': '/api/peptoids/13AC4-4-A', '17AB2-8-A': '/api/peptoids/17AB2-8-A'}","N2,6mph",alpha
*N(c1cc(C)cc(C)c1)CC(=O)*,"N-(3,5-dimethylphenyl)glycine",,"{'13AC1-6-A': '/api/peptoids/13AC1-6-A', '17AB1-5-A': '/api/peptoids/17AB1-5-A', '17AB2-8-A': '/api/peptoids/17AB2-8-A', '19AF1-10-A': '/api/peptoids/19AF1-10-A'}","N3,5mph",alpha
*N(c1ccc(F)cc1)CC(=O)*,N-(4-fluorophenyl)glycine,,"{'13AC1-6-A': '/api/peptoids/13AC1-6-A', '17AB2-8-A': '/api/peptoids/17AB2-8-A'}",N4fph,alpha
*N(C(C)(C)C)CC(=O)*,N-(tert-butyl)glycine,,"{'13AD1-2-A': '/api/peptoids/13AD1-2-A', '16AA1-3-A': '/api/peptoids/16AA1-3-A', '16AA2-5-A': '/api/peptoids/16AA2-5-A', '17AD1-8-A': '/api/peptoids/17AD1-8-A', '18AA1-2-A': '/api/peptoids/18AA1-2-A', '19AD1-3-A': '/api/peptoids/19AD1-3-A', '19AD2-5-A': '/api/peptoids/19AD2-5-A'}",NtBu,alpha
*N(CC#C)CCC(=O)*,N-(propargyl)beta-alanine,,"{'08AA1-4-C': '/api/peptoids/08AA1-4-C', '13AE1-4-C': '/api/peptoids/13AE1-4-C'}",betaNpa,beta
*N([C@@H](C)c1cccc2ccccc21)CCC(=O)*,(S)-N-(1-naphthylethyl)beta-alanine,,"{'15AA1-6-A': '/api/peptoids/15AA1-6-A', '19AC1-6-A': '/api/peptoids/19AC1-6-A'}",betaNs1npe,beta
*N([C@H](C)c1cccc2ccccc21)CC(=O)*,(R)-N-(1-naphthylethyl)glycine,,"{'16AB1-3-A': '/api/peptoids/16AB1-3-A', '17AB1-5-A': '/api/peptoids/17AB1-5-A', '17AB2-8-A': '/api/peptoids/17AB2-8-A'}",Nr1npe,alpha
*N(CC=C)CC(=O)*,N-allylglycine,,{'03AB1-3-C': '/api/peptoids/03AB1-3-C'},,alpha
*N([C@@H](C)C(C)(C)C)CC(=O)*,(S)-N-(1-tert-butylethyl)glycine,,"{'17AD1-8-A': '/api/peptoids/17AD1-8-A', '17AD2-5-A': '/api/peptoids/17AD2-5-A', '19AD1-3-A': '/api/peptoids/19AD1-3-A', '19AD2-5-A': '/api/peptoids/19AD2-5-A', '20AA4-3-A': '/api/peptoids/20AA4-3-A'}",Ns1tbe,alpha
*N(C(C)C)CC(=O)*,N-isopropylglycine,,"{'17AC1-6-C': '/api/peptoids/17AC1-6-C', '17AC2-6-C': '/api/peptoids/17AC2-6-C'}",NVal,alpha
*N(c1ccccc1)CCC(=O)*,N-(phenyl)beta-alanine,,{'18AA1-2-A': '/api/peptoids/18AA1-2-A'},betaNPh,beta
*N(CC(=O)O)CC(=O)*,N-carboxymethylglycine,,"{'18AC1-3-A': '/api/peptoids/18AC1-3-A', '18AC2-7-A': '/api/peptoids/18AC2-7-A'}",Ncm,alpha
*N(CCN)CC(=O)*,N-(2-aminoethyl)glycine,,"{'18AB2-3-A': '/api/peptoids/18AB2-3-A', '18AC2-7-A': '/api/peptoids/18AC2-7-A', '19AE1-4-A': '/api/peptoids/19AE1-4-A'}",Nae,alpha
*N(CCO)CC(=O)*,N-(2-hydroxyethyl)glycine,,"{'18AB3-3-A': '/api/peptoids/18AB3-3-A', '18AC2-7-A': '/api/peptoids/18AC2-7-A'}",Nhe,alpha
