06AA1-9-A,13AC1-6-A,17AB1-5-A,17AB2-8-A,18AC2-7-A,18AC1-3-A,19AE1-4-A,19AF1-10-A
NSP,N35,NSN,N26,NCE,NCM,NAE,N35
NSP,NSN,N35,NRN,NAE,NPM,NPE,NI2
NSP,N26,NRN,N4F,NHE,ALA,NAE,N4I
NSP,NSN,NPH,NSN,NSP,,NPE,N2B
NSP,N4F,,N35,NCM,,,NDM
NSP,NSN,,NRN,NPM,,,N3A
NSP,,,NPH,ALA,,,N4M
NSP,,,,,,,N3M
NSP,,,,,,,NMO
,,,,,,,NI2
